frame,possessor_id,possessor_team,has_possession,is_ball_free,robot_id,team,distance_robot_ball,robot_x,robot_y,ball_x,ball_y,ball_speed_px_per_frame
1,,,False,True,robot_001,unknown,55.665736490413515,763.9552461461959,282.0870213823968,806.4520547945206,318.041095890411,1.0104811691334865
2,,,False,True,robot_001,unknown,56.32821652121409,762.3706326723324,281.4291784702549,805.0066666666667,318.24,1.4590098303138375
3,,,False,True,robot_001,unknown,56.97810084673103,759.0233426704015,281.82026143790847,802.9869281045752,318.06535947712416,2.027274813987876
4,,,False,True,robot_001,unknown,58.336508179226676,752.778672985782,282.4744075829384,799.1468531468531,317.87412587412587,3.844833672844647
5,,,False,True,robot_001,unknown,58.24194671276756,750.3868852459017,282.3728337236534,796.3924050632911,318.0886075949367,2.762786031092603
6,,,False,True,robot_001,unknown,58.109629619122956,747.6611374407582,282.4829383886256,793.7183098591549,317.9154929577465,2.6796928626978023
7,,,False,True,robot_001,unknown,57.025321129938106,745.6869976359338,282.30827423167847,790.5065789473684,317.5657894736842,3.230713230308481
8,,,False,True,robot_001,unknown,56.712041864388326,744.8384945212006,282.2982372558361,789.2745098039215,317.5359477124183,1.2324304868630165
9,,,False,True,robot_001,unknown,55.01275272925464,738.8306930693069,283.0306930693069,782.046052631579,317.07236842105266,7.243307176405959
10,,,False,True,robot_001,unknown,54.3349207284347,736.0488165680473,282.2435897435897,778.1192052980133,316.6291390728477,3.9517821595125837
11,,,False,True,robot_001,unknown,53.41723727583845,732.7160975609756,282.2712195121951,773.9246575342465,316.2602739726028,4.210735375762697
12,,,False,True,robot_001,unknown,51.4269980336473,727.1763236763237,282.6978021978022,767.1390728476821,315.0662251655629,6.889841224014626
13,,,False,True,robot_001,unknown,50.09731002606443,717.676455948233,281.90343454454955,756.6544117647059,313.375,10.620186466607336
14,,,False,True,robot_001,unknown,49.20251714598486,711.7339312406577,282.18086696562034,750.7132352941177,312.2058823529412,6.055114691509553
15,,,False,True,robot_001,unknown,48.94403108647613,705.8303482587065,281.8611940298508,744.751677852349,311.53691275167785,5.998973867164488
16,,,False,True,robot_001,unknown,48.29940698478181,698.5111473626971,282.26971179989124,737.8189655172414,310.33620689655174,7.0359217499832045
17,,,False,True,robot_001,unknown,46.391420871438214,684.3773684210527,283.6684210526316,723.5,308.6,14.423840954183524
18,,,False,True,robot_001,unknown,45.677329872697904,678.0282051282052,283.77076923076925,716.5681818181819,308.2878787878788,6.9388416149124215
19,,,False,True,robot_001,unknown,45.44155557012722,671.5107142857142,284.325,710.488188976378,307.68503937007875,6.109805915087676
20,,,False,True,robot_001,unknown,45.22663614655354,664.980678851175,285.3420365535248,704.5811965811965,307.1880341880342,5.927864143830413
21,,,False,True,robot_001,unknown,46.028871364980986,653.7743813682679,284.471615720524,694.6076923076923,305.7153846153846,10.081640950630586
22,,,False,True,robot_001,unknown,45.69794622522254,649.0520059435364,284.96235760277364,689.9516129032259,305.3467741935484,4.670647606465639
23,,,False,True,robot_001,unknown,44.64780772540915,645.2585858585859,285.64141414141415,685.327868852459,305.3360655737705,4.623756451364987
24,,,False,True,robot_001,unknown,43.76291519909541,642.2523136872869,285.63029712615685,681.4132231404959,305.1652892561983,3.9183689975338614
25,,,False,True,robot_001,unknown,39.49562218110162,639.0206297502715,288.6905537459284,674.5564516129032,305.9274193548387,6.898996888596205
26,,,False,True,robot_001,unknown,38.20924784588112,637.6981818181819,288.5116883116883,671.4344262295082,306.4508196721312,3.1655947919316167
27,,,False,True,robot_001,unknown,36.50623927527474,637.8008255933953,288.2466460268318,669.2869565217392,306.7217391304348,2.1644915104183253
28,,,False,True,robot_001,unknown,34.091076052730486,639.0074034902168,288.66314119513487,667.6486486486486,307.15315315315314,1.694157827957131
29,,,False,True,robot_001,unknown,30.442871236520173,640.8534577387486,288.9714599341383,664.8666666666667,307.68333333333334,2.8320513363158235
30,,,False,True,robot_001,unknown,29.580569050479827,640.6404867256637,289.53926991150445,663.8403361344538,307.890756302521,1.0470810138184496
31,,,False,True,robot_001,unknown,29.489337719106036,639.925925925926,289.726368159204,662.7213114754098,308.4344262295082,1.2441033626908162
32,,,False,True,robot_001,unknown,29.825581536297225,639.4918292040063,289.3510806536637,662.3584905660377,308.5,0.36869897159350007
33,,,False,True,robot_001,unknown,29.09651606529661,639.8704474505723,288.87148803329865,660.6822429906542,309.2056074766355,1.8187049912129936
34,,,False,False,robot_001,unknown,27.461609414022238,641.4752808988763,289.2853932584269,660.4705882352941,309.11764705882354,0.22920464778925642
35,,,False,False,robot_001,unknown,26.692003067323455,642.1300949190396,288.5689558905639,659.2543859649123,309.0438596491228,1.2184385681322731
