frame,robot_id,team,robot_x,robot_y,ball_x,ball_y,ball_speed_px_per_frame,distance_robot_ball
1,robot_001,unknown,763.9552461461959,282.0870213823968,806.4520547945206,318.041095890411,1.0104811691334865,55.665736490413515
2,robot_001,unknown,762.3706326723324,281.4291784702549,805.0066666666667,318.24,1.4590098303138375,56.32821652121409
3,robot_001,unknown,759.0233426704015,281.82026143790847,802.9869281045752,318.06535947712416,2.027274813987876,56.97810084673103
4,robot_001,unknown,752.778672985782,282.4744075829384,799.1468531468531,317.87412587412587,3.844833672844647,58.336508179226676
5,robot_001,unknown,750.3868852459017,282.3728337236534,796.3924050632911,318.0886075949367,2.762786031092603,58.24194671276756
6,robot_001,unknown,747.6611374407582,282.4829383886256,793.7183098591549,317.9154929577465,2.6796928626978023,58.109629619122956
7,robot_001,unknown,745.6869976359338,282.30827423167847,790.5065789473684,317.5657894736842,3.230713230308481,57.025321129938106
8,robot_001,unknown,744.8384945212006,282.2982372558361,789.2745098039215,317.5359477124183,1.2324304868630165,56.712041864388326
9,robot_001,unknown,738.8306930693069,283.0306930693069,782.046052631579,317.07236842105266,7.243307176405959,55.01275272925464
10,robot_001,unknown,736.0488165680473,282.2435897435897,778.1192052980133,316.6291390728477,3.9517821595125837,54.3349207284347
11,robot_001,unknown,732.7160975609756,282.2712195121951,773.9246575342465,316.2602739726028,4.210735375762697,53.41723727583845
12,robot_001,unknown,727.1763236763237,282.6978021978022,767.1390728476821,315.0662251655629,6.889841224014626,51.4269980336473
13,robot_001,unknown,717.676455948233,281.90343454454955,756.6544117647059,313.375,10.620186466607336,50.09731002606443
14,robot_001,unknown,711.7339312406577,282.18086696562034,750.7132352941177,312.2058823529412,6.055114691509553,49.20251714598486
15,robot_001,unknown,705.8303482587065,281.8611940298508,744.751677852349,311.53691275167785,5.998973867164488,48.94403108647613
16,robot_001,unknown,698.5111473626971,282.26971179989124,737.8189655172414,310.33620689655174,7.0359217499832045,48.29940698478181
17,robot_001,unknown,684.3773684210527,283.6684210526316,723.5,308.6,14.423840954183524,46.391420871438214
18,robot_001,unknown,678.0282051282052,283.77076923076925,716.5681818181819,308.2878787878788,6.9388416149124215,45.677329872697904
19,robot_001,unknown,671.5107142857142,284.325,710.488188976378,307.68503937007875,6.109805915087676,45.44155557012722
20,robot_001,unknown,664.980678851175,285.3420365535248,704.5811965811965,307.1880341880342,5.927864143830413,45.22663614655354
21,robot_001,unknown,653.7743813682679,284.471615720524,694.6076923076923,305.7153846153846,10.081640950630586,46.028871364980986
22,robot_001,unknown,649.0520059435364,284.96235760277364,689.9516129032259,305.3467741935484,4.670647606465639,45.69794622522254
23,robot_001,unknown,645.2585858585859,285.64141414141415,685.327868852459,305.3360655737705,4.623756451364987,44.64780772540915
24,robot_001,unknown,642.2523136872869,285.63029712615685,681.4132231404959,305.1652892561983,3.9183689975338614,43.76291519909541
25,robot_001,unknown,639.0206297502715,288.6905537459284,674.5564516129032,305.9274193548387,6.898996888596205,39.49562218110162
26,robot_001,unknown,637.6981818181819,288.5116883116883,671.4344262295082,306.4508196721312,3.1655947919316167,38.20924784588112
27,robot_001,unknown,637.8008255933953,288.2466460268318,669.2869565217392,306.7217391304348,2.1644915104183253,36.50623927527474
