event_type,event_frame,start_frame,end_frame,robot_a_id,robot_b_id,min_distance_robot_robot,max_relative_speed_px_per_frame,max_crossing_angle_deg,duration_frames,rule
collision,578,578,578,robot_001,robot_006,40.3070254938945,8.202446124829603,0.0,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,591,587,591,robot_001,robot_006,33.79365428684673,7.62916321748382,46.08475898209574,5,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,600,600,600,robot_001,robot_006,42.64106744389224,5.733618902921998,26.842344964065262,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,783,778,784,robot_001,robot_006,40.19027902982779,5.597918989293521,105.90807822115643,7,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,788,788,789,robot_001,robot_006,43.8874565518533,4.120845645289428,81.00486421738991,2,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,815,807,815,robot_001,robot_006,29.0380594402333,5.788427277070194,177.80444413088117,9,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,825,825,829,robot_001,robot_006,27.434313791400573,11.393011459675192,147.7942813497029,5,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,833,833,834,robot_001,robot_006,37.522735195511686,3.6350309818986926,93.88500777000847,2,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,853,852,853,robot_001,robot_006,35.32369613122894,9.10035554913595,153.7327816070634,2,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,862,858,872,robot_001,robot_006,26.53240757364035,3.149022586832589,167.6324673715464,15,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,893,881,895,robot_001,robot_006,28.175022575491976,4.959295966645726,178.7972533439395,15,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,903,900,908,robot_001,robot_006,25.730559900022474,3.934991992490041,159.53701968862612,9,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,915,913,915,robot_001,robot_006,27.58597581177502,3.0376635638924787,114.26562042624332,3,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,924,920,924,robot_001,robot_006,29.66020667112224,1.2167830242508428,147.94820684497256,5,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,929,929,935,robot_001,robot_006,32.35686371485908,3.3971597782065035,151.69668206861598,7,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,950,941,953,robot_001,robot_006,28.007946212088243,4.771122449540873,172.39833668520976,13,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,960,957,960,robot_001,robot_006,30.629945642079967,3.041870622585672,122.18180148818156,4,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,968,968,968,robot_001,robot_006,29.044935252524308,0.737353287309274,72.94080341111062,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,972,972,972,robot_001,robot_006,27.297319425603597,2.1392972326983988,168.9605687821202,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,977,977,980,robot_001,robot_006,27.480240455445,1.9324791830712285,178.1317356314482,4,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,993,985,993,robot_001,robot_006,31.371787118613863,4.335092779298775,179.45462742939162,9,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1012,1000,1012,robot_001,robot_006,26.134383096372833,2.5758292095023823,176.93574343145727,13,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1016,1016,1021,robot_001,robot_006,25.872550261504774,3.0746609519958,150.1019800145616,6,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1026,1026,1026,robot_001,robot_006,33.58254512925703,1.0564129761607874,69.57858915897252,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1032,1030,1032,robot_001,robot_006,30.309082014847455,2.334358568355959,122.52125342065571,3,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1040,1037,1040,robot_001,robot_006,34.25594726143216,2.5767222969713504,109.76456880354931,4,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1054,1049,1054,robot_001,robot_006,26.677314000074542,3.1189673786488625,113.88468597015653,6,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1060,1060,1060,robot_001,robot_006,29.42768303924915,1.34619969010133,87.57552896587836,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1078,1078,1078,robot_001,robot_006,26.547762342943,1.738281302119441,67.86874086748237,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1098,1091,1098,robot_001,robot_006,25.446003027353804,2.102325566733778,170.28497277724054,8,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1150,1150,1150,robot_001,robot_008,27.66778441814446,3.9497191482100167,21.9411857978414,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1166,1166,1166,robot_001,robot_008,25.065745795605345,4.252273684645369,27.621810464335102,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1182,1179,1182,robot_001,robot_008,24.281850489454445,3.0915297381357205,109.49551245482922,4,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1186,1186,1190,robot_001,robot_008,23.36314750281845,3.116830450287377,110.4868262085706,5,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1200,1198,1200,robot_001,robot_008,24.34737501252866,1.0894429988389538,166.45159382665787,3,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1209,1204,1211,robot_001,robot_008,26.745963731264748,2.0298740395317805,140.6175088675148,8,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1227,1215,1227,robot_001,robot_008,32.27400788801518,3.1155445666504584,151.09152693182187,13,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1235,1232,1235,robot_001,robot_008,29.153213246109612,1.346713447975808,176.75006140806465,4,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1239,1239,1240,robot_001,robot_008,27.81933917758838,6.3004019758178265,59.10661611465364,2,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
collision,1247,1247,1247,robot_001,robot_008,32.336133008366495,3.8434484625306577,16.088187613549085,1,Robot-robot distance below threshold and relative speed/crossing angle indicates impact.
