frame,local_frame,window_index,window_start_frame,object_type,text_prompt,sam3_track_id,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height
112,0,7,112,robot,robot,0,773.6493543758967,337.1107604017217,3485,742,306,807,374,65,68
112,0,7,112,robot,robot,1,571.8484024473147,286.58803535010196,1471,554,259,590,312,36,53
113,1,7,112,robot,robot,0,773.5876375952582,337.421394298617,3543,742,307,807,374,65,67
113,1,7,112,robot,robot,1,570.986040609137,286.33756345177665,1576,553,260,590,312,37,52
114,2,7,112,robot,robot,0,773.3401651010532,337.489610019926,3513,743,307,807,373,64,66
114,2,7,112,robot,robot,1,568.3126916002452,286.388105456775,1631,549,259,590,313,41,54
115,3,7,112,robot,robot,0,773.5945252352439,337.38266324493867,3507,743,307,807,373,64,66
115,3,7,112,robot,robot,1,567.8505747126437,286.16454930429524,1653,548,259,590,312,42,53
116,4,7,112,robot,robot,0,773.7768264840182,337.33019406392697,3504,743,307,808,373,65,66
116,4,7,112,robot,robot,1,567.4139420111043,286.56446637877855,1621,548,259,590,312,42,53
117,5,7,112,robot,robot,0,773.7944270685243,337.40943986352005,3517,743,307,807,374,64,67
117,5,7,112,robot,robot,1,566.9676237018937,286.5797189981674,1637,547,259,590,313,43,54
118,6,7,112,robot,robot,0,773.3808715336729,337.36842105263156,3534,742,307,806,374,64,67
118,6,7,112,robot,robot,1,566.9451219512196,286.6817073170732,1640,547,259,589,313,42,54
119,7,7,112,robot,robot,0,772.9072866458747,337.44570456478596,3527,742,307,806,374,64,67
119,7,7,112,robot,robot,1,567.0923450789793,286.6719319562576,1646,548,259,589,313,41,54
120,8,7,112,robot,robot,0,772.410234662143,337.55131467345205,3537,741,307,805,374,64,67
120,8,7,112,robot,robot,1,567.1310559006212,286.6844720496894,1610,548,259,589,312,41,53
121,9,7,112,robot,robot,0,771.8934472934473,337.7068376068376,3510,741,307,805,374,64,67
121,9,7,112,robot,robot,1,567.2685643564356,286.4907178217822,1616,548,259,588,312,40,53
122,10,7,112,robot,robot,0,770.6645642201835,337.70240825688074,3488,740,307,804,373,64,66
122,10,7,112,robot,robot,1,566.4952441344325,287.17311350665824,1577,548,259,587,313,39,54
123,11,7,112,robot,robot,0,770.1627641347801,337.6364934323244,3502,739,307,803,373,64,66
123,11,7,112,robot,robot,1,566.2785445420326,287.5276035131744,1594,548,261,586,313,38,52
124,12,7,112,robot,robot,0,769.6451430189747,337.737751345228,3531,739,307,803,373,64,66
124,12,7,112,robot,robot,1,566.3216336949586,287.9527760051053,1567,548,262,585,313,37,51
125,13,7,112,robot,robot,0,769.0399886557005,337.6942711287578,3526,738,307,803,373,65,66
125,13,7,112,robot,robot,1,566.6141581632653,288.1658163265306,1568,549,262,585,314,36,52
126,14,7,112,robot,robot,0,766.9513729977117,337.6115560640732,3496,736,306,800,374,64,68
126,14,7,112,robot,robot,1,567.7753086419754,287.9783950617284,1620,549,261,587,314,38,53
127,15,7,112,robot,robot,0,766.0594763801935,337.72709163346616,3514,735,307,799,374,64,67
127,15,7,112,robot,robot,1,568.4491682070241,288.32963647566237,1623,549,261,588,315,39,54
