frame,local_frame,window_index,window_start_frame,object_type,text_prompt,sam3_track_id,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height
1312,0,82,1312,soccer_ball,small orange ball,0,576.6789473684211,504.5210526315789,380,567,494,587,516,20,22
1313,1,82,1312,soccer_ball,small orange ball,0,575.8502673796792,504.5561497326203,374,566,494,587,515,21,21
1314,2,82,1312,soccer_ball,small orange ball,0,575.256,505.1573333333333,375,565,495,586,516,21,21
1315,3,82,1312,soccer_ball,small orange ball,0,575.163101604278,505.59893048128345,374,565,495,586,516,21,21
1316,4,82,1312,soccer_ball,small orange ball,0,574.7103825136612,505.8743169398907,366,564,496,585,517,21,21
1317,5,82,1312,soccer_ball,small orange ball,0,575.0857908847184,506.0026809651475,373,565,496,586,517,21,21
1318,6,82,1312,soccer_ball,small orange ball,0,575.7851239669421,505.9972451790634,363,565,496,586,517,21,21
1319,7,82,1312,soccer_ball,small orange ball,0,576.6086956521739,505.9402173913044,368,566,496,587,517,21,21
1320,8,82,1312,soccer_ball,small orange ball,0,578.0633245382586,506.13984168865437,379,568,496,589,518,21,22
1321,9,82,1312,soccer_ball,small orange ball,0,578.1223404255319,506.0425531914894,376,568,496,589,518,21,22
1322,10,82,1312,soccer_ball,small orange ball,0,578.9635416666666,505.875,384,568,495,590,518,22,23
1323,11,82,1312,soccer_ball,small orange ball,0,579.7989949748744,505.5577889447236,398,569,495,591,517,22,22
1324,12,82,1312,soccer_ball,small orange ball,0,582.4974747474747,504.719696969697,396,572,494,594,516,22,22
1325,13,82,1312,soccer_ball,small orange ball,0,583.964824120603,504.0753768844221,398,574,493,595,515,21,22
1326,14,82,1312,soccer_ball,small orange ball,0,585.2731958762887,503.30927835051546,388,575,492,596,515,21,23
1327,15,82,1312,soccer_ball,small orange ball,0,586.8411910669976,502.8411910669975,403,577,492,598,514,21,22
