frame,local_frame,window_index,window_start_frame,object_type,text_prompt,sam3_track_id,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height
1232,0,77,1232,robot,robot,0,571.5799291177019,393.62991979108375,5361,532,341,617,441,85,100
1233,1,77,1232,robot,robot,0,570.8146905294557,392.8564504101417,5364,531,341,616,440,85,99
1234,2,77,1232,robot,robot,0,569.5424449787313,392.8281856852229,5407,530,340,615,440,85,100
1235,3,77,1232,robot,robot,0,566.4368224631243,393.61986849120314,5627,525,340,613,441,88,101
1236,4,77,1232,robot,robot,0,565.817480258435,393.82501794687727,5572,525,341,612,441,87,100
1237,5,77,1232,robot,robot,0,566.5254845656856,392.89931801866476,5572,526,340,612,440,86,100
1238,6,77,1232,robot,robot,0,568.6880116427142,391.66781881026014,5497,529,339,614,439,85,100
1239,7,77,1232,robot,robot,0,575.1588202967577,389.8648104048361,5459,536,337,620,437,84,100
1240,8,77,1232,robot,robot,0,576.8916817359856,389.3878842676311,5530,537,337,623,436,86,99
1241,9,77,1232,robot,robot,0,576.5860897550509,389.3302342213481,5593,536,337,623,436,87,99
1242,10,77,1232,robot,robot,0,575.3270049680625,389.9813697657913,5636,534,337,621,437,87,100
1243,11,77,1232,robot,robot,0,572.9334039922276,390.1732909379968,5661,532,336,619,437,87,101
1244,12,77,1232,robot,robot,0,570.405802228905,390.1084379975234,5653,529,336,616,437,87,101
1245,13,77,1232,robot,robot,0,566.6805190250745,389.7462738909346,5703,525,336,613,437,88,101
1246,14,77,1232,robot,robot,0,564.2894183601962,389.45357393132446,5708,523,336,611,437,88,101
1247,15,77,1232,robot,robot,0,562.8131518472688,388.5923634435213,5657,521,336,609,436,88,100
1232,0,77,1232,soccer_ball,small orange ball,0,630.9679012345679,461.0543209876543,405,622,449,642,474,20,25
1233,1,77,1232,soccer_ball,small orange ball,0,631.0455635491606,461.2086330935252,417,622,449,642,474,20,25
1234,2,77,1232,soccer_ball,small orange ball,0,630.866828087167,460.9176755447942,413,621,449,642,474,21,25
1235,3,77,1232,soccer_ball,small orange ball,0,630.3033980582525,460.24271844660194,412,621,448,641,473,20,25
1236,4,77,1232,soccer_ball,small orange ball,0,629.9854368932039,460.126213592233,412,621,448,641,473,20,25
1237,5,77,1232,soccer_ball,small orange ball,0,629.5156626506024,460.0048192771084,415,620,448,640,473,20,25
1238,6,77,1232,soccer_ball,small orange ball,0,629.5552884615385,459.53365384615387,416,620,447,640,473,20,26
1239,7,77,1232,soccer_ball,small orange ball,0,628.8777506112469,458.9462102689487,409,620,447,640,472,20,25
1240,8,77,1232,soccer_ball,small orange ball,0,628.990243902439,458.2780487804878,410,620,446,640,472,20,26
1241,9,77,1232,soccer_ball,small orange ball,0,629.0098522167488,458.0689655172414,406,620,446,640,471,20,25
1242,10,77,1232,soccer_ball,small orange ball,0,628.7980049875312,457.927680798005,401,620,446,639,471,19,25
1243,11,77,1232,soccer_ball,small orange ball,0,628.8653366583541,457.0199501246883,401,620,445,639,470,19,25
1244,12,77,1232,soccer_ball,small orange ball,0,628.9267676767677,457.00757575757575,396,620,445,639,470,19,25
1245,13,77,1232,soccer_ball,small orange ball,0,628.9234567901235,456.7827160493827,405,620,445,639,470,19,25
1246,14,77,1232,soccer_ball,small orange ball,0,628.997506234414,456.6234413965087,401,620,445,639,470,19,25
1247,15,77,1232,soccer_ball,small orange ball,0,629.0406091370559,456.3071065989848,394,619,445,639,469,20,24
