frame,local_frame,window_index,window_start_frame,object_type,text_prompt,sam3_track_id,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height
896,0,56,896,robot,robot,0,750.9930147058824,322.45073529411764,2720,724,295,781,352,57,57
896,0,56,896,robot,robot,1,701.0438768827767,317.74983628028815,1527,678,286,724,340,46,54
897,1,56,896,robot,robot,0,753.6955256456894,321.55329210622045,2749,727,294,784,351,57,57
897,1,56,896,robot,robot,1,702.61,317.48875,1600,679,286,727,341,48,55
898,2,56,896,robot,robot,0,755.3531882397862,319.3906071019473,2619,729,293,785,348,56,55
898,2,56,896,robot,robot,1,705.1006134969325,318.0312883435583,1630,682,286,729,341,47,55
899,3,56,896,robot,robot,0,756.9651340996169,319.4624521072797,2610,730,293,786,348,56,55
899,3,56,896,robot,robot,1,705.8415662650602,318.0861445783133,1660,683,287,730,342,47,55
900,4,56,896,robot,robot,0,757.8099547511313,320.01508295625945,2652,731,294,787,349,56,55
900,4,56,896,robot,robot,1,706.2454100367197,319.21603427172585,1634,684,288,731,342,47,54
901,5,56,896,robot,robot,0,758.581939799331,320.9059829059829,2691,732,294,788,350,56,56
901,5,56,896,robot,robot,1,706.7177570093457,320.42429906542054,1605,684,290,731,343,47,53
902,6,56,896,robot,robot,0,758.8237674760853,322.6935246504783,2718,732,295,788,351,56,56
902,6,56,896,robot,robot,1,707.348300192431,322.26427196921105,1559,685,293,731,344,46,51
903,7,56,896,robot,robot,0,758.3697632058288,323.9912568306011,2745,730,296,788,352,58,56
903,7,56,896,robot,robot,1,707.3225396825396,323.09714285714284,1575,684,294,731,345,47,51
904,8,56,896,robot,robot,0,758.7935341660544,325.1542983100661,2722,731,297,789,354,58,57
904,8,56,896,robot,robot,1,707.1718854097269,324.26049300466354,1501,684,295,730,346,46,51
905,9,56,896,robot,robot,0,758.7481644640235,326.69603524229075,2724,731,300,789,355,58,55
905,9,56,896,robot,robot,1,706.0281690140845,324.26120358514726,1562,684,296,729,347,45,51
906,10,56,896,robot,robot,0,756.4047619047619,330.77881297446515,2898,728,300,788,361,60,61
906,10,56,896,robot,robot,1,705.0725288831836,326.0141206675225,1558,683,296,728,349,45,53
907,11,56,896,robot,robot,0,754.8009478672985,332.9939065673663,2954,726,301,786,363,60,62
907,11,56,896,robot,robot,1,704.3394383394383,325.8870573870574,1638,681,294,728,350,47,56
908,12,56,896,robot,robot,0,753.2159322033898,334.85016949152543,2950,724,303,785,365,61,62
908,12,56,896,robot,robot,1,702.8713119899561,326.57313245448836,1593,680,295,726,350,46,55
909,13,56,896,robot,robot,0,752.3480329949239,337.2401649746193,3152,722,303,784,369,62,66
909,13,56,896,robot,robot,1,701.7600743955363,327.36639801611904,1613,679,296,725,351,46,55
910,14,56,896,robot,robot,0,749.2889383343929,340.76636999364274,3146,720,308,781,373,61,65
910,14,56,896,robot,robot,1,699.8527950310558,328.5739130434783,1610,676,297,722,352,46,55
911,15,56,896,robot,robot,0,747.3910828025478,341.68694267515923,3140,719,309,779,375,60,66
911,15,56,896,robot,robot,1,699.0284301606922,329.0766378244747,1618,676,298,720,353,44,55
