frame,local_frame,window_index,window_start_frame,object_type,text_prompt,sam3_track_id,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height
724,4,45,720,robot,robot,0,873.1962855382449,346.37479095150076,11361,826,252,911,447,85,195
724,4,45,720,robot,robot,1,579.1930792377132,296.12136409227685,1994,554,266,611,321,57,55
725,5,45,720,robot,robot,0,874.4490843744652,353.157025500599,11686,829,270,911,453,82,183
725,5,45,720,robot,robot,1,580.5732071713147,298.2066733067729,2008,554,268,611,323,57,55
726,6,45,720,robot,robot,0,874.4280325760823,353.08872696099445,11665,829,270,911,452,82,182
726,6,45,720,robot,robot,1,580.4865771812081,297.9400767018217,2086,554,267,611,324,57,57
727,7,45,720,robot,robot,0,874.5978112175103,356.51171340629276,11696,830,274,911,456,81,182
727,7,45,720,robot,robot,1,582.460972017673,299.4462444771723,2037,556,268,613,324,57,56
728,8,45,720,robot,robot,0,873.7829323649569,365.02886972310483,11015,831,281,911,464,80,183
728,8,45,720,robot,robot,1,584.0936500685244,299.6532663316583,2189,557,268,615,325,58,57
729,9,45,720,robot,robot,0,874.6503251625813,368.9312989828247,11994,831,287,911,472,80,185
729,9,45,720,robot,robot,1,587.4354704412989,301.3413821815154,2402,559,267,618,329,59,62
730,10,45,720,robot,robot,0,874.7088534822602,372.83180026281207,12176,832,289,911,474,79,185
730,10,45,720,robot,robot,1,589.0110715697904,302.10517991300907,2529,560,268,620,331,60,63
731,11,45,720,robot,robot,0,874.7180957128614,374.98703888334995,12036,832,291,911,476,79,185
731,11,45,720,robot,robot,1,590.6336671802774,302.49036979969185,2596,562,268,621,332,59,64
732,12,45,720,robot,robot,0,874.9936932391523,376.3397241843256,11892,833,292,911,476,78,184
732,12,45,720,robot,robot,1,592.4136008918617,302.7692307692308,2691,564,267,624,333,60,66
733,13,45,720,robot,robot,0,876.413233348037,377.61870313189235,11335,837,294,911,471,74,177
733,13,45,720,robot,robot,1,596.8021314387212,302.6682060390764,2815,567,266,630,334,63,68
734,14,45,720,robot,robot,0,877.5591427520235,379.13907284768214,10872,838,297,911,472,73,175
734,14,45,720,robot,robot,1,599.4740791268758,302.7107776261937,2932,570,266,632,336,62,70
735,15,45,720,robot,robot,0,878.8151645207439,380.579113018598,10485,840,299,911,474,71,175
735,15,45,720,robot,robot,1,602.3332262210797,303.1526349614396,3112,574,266,636,338,62,72
